"C5_Fe_NO_1" "C5_Fe_NO_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C5_Fe_YES_1" "C5_Fe_YES_2" "C6_Fe_YES_1" "C6_Fe_YES_2"
"Rv0181c" 114.468879 106.782974 8.038541 5.867033 102.536105 104.640772 10.348603 10.020379
"Rv0182c" 184.869399 180.151919 19.26022 14.300265 172.816054 156.591689 20.27159 17.344111
"Rv0183" 174.19874 174.695117 3.156158 2.706836 181.706774 167.861239 6.307997 6.645093
"Rv0184" 217.089771 268.358416 3.231906 3.658895 250.967571 276.659595 2.962724 4.96167
"Rv0185" 104.920828 159.507974 0.742625 1.844821 127.884789 144.485497 1.675749 2.736215
"Rv0186A" 233.084075 227.629049 1284.439406 2096.121106 195.418601 172.134864 194.666138 160.794847
"Rv0186" 286.997961 326.65831 3.466301 3.738962 304.485189 359.896832 5.392908 5.116124
"Rv0187" 117.255497 133.716621 5.712503 4.730311 118.677975 133.868713 5.929572 6.080477
"Rv0188" 356.325721 284.626497 1199.340035 749.020879 297.254459 266.184356 1035.845427 1103.490526
"Rv0189c" 193.860201 189.018238 8.986283 9.437627 199.853465 187.88208 21.514169 18.663688
"Rv0190" 236.155197 237.376557 132.753862 103.462135 214.41084 201.444159 39.35418 38.629837
"Rv0191" 73.431509 97.118382 9.209273 12.120564 78.992339 80.57505 4.472711 5.742673
"Rv0192" 134.309735 151.223216 8.118292 7.050032 148.402543 142.502612 10.712007 11.195865
"Rv0193c" 13.293999 10.43579 0.983738 0.466696 11.67559 10.424904 0.739941 1.426346
"Rv0194" 5.256947 4.857809 0.528227 0.415535 5.246938 4.704725 0.667495 0.562253
"Rv0195" 17.567733 12.037257 4.406711 4.684569 11.50174 17.326113 8.600069 9.629813
"Rv0196" 15.762658 16.283399 1.035867 0 13.975568 13.19843 1.899182 0.39757
"Rv0197" 20.024703 21.139654 0.926578 0.650805 21.994384 22.367417 2.090842 1.930532
"Rv0198c" 229.697665 208.560721 8.36572 7.911338 237.368796 212.354579 19.049023 17.941529
"Rv0199" 87.500011 73.493257 1.721541 0.712772 83.824748 76.552059 3.237242 3.523913
"Rv0200" 157.343944 173.627339 0.988015 1.136303 173.189219 160.027482 4.335089 7.190825
"Rv0201c" 211.0043 239.443394 17.133429 21.001312 213.930515 241.097881 39.509765 40.916546
"Rv0202c" 232.340336 252.617334 16.188773 16.135031 248.237992 251.087671 21.859249 23.142913
"Rv0203" 207.818667 222.955185 2.764518 0.953831 242.74505 190.596703 7.069947 5.281583
